Found: http://testphp.vulnweb.com/admin
Found: http://testphp.vulnweb.com/images
Found: http://testphp.vulnweb.com/vendor
Found: http://testphp.vulnweb.com/admin
Found: http://testphp.vulnweb.com/images
Found: http://testphp.vulnweb.com/vendor
Found: http://testphp.vulnweb.com/admin
Found: http://testphp.vulnweb.com/images
Found: http://testphp.vulnweb.com/vendor
Found: http://testphp.vulnweb.com/admin
Found: http://testphp.vulnweb.com/images
Found: http://testphp.vulnweb.com/vendor
200Found: http://testphp.vulnweb.com/admin
200Found: http://testphp.vulnweb.com/images
200Found: http://testphp.vulnweb.com/vendor
200Found: http://testphp.vulnweb.com/admin
200Found: http://testphp.vulnweb.com/images
200Found: http://testphp.vulnweb.com/vendor
200Found: http://testphp.vulnweb.com/admin
200Found: http://testphp.vulnweb.com/images
200Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/admin
200 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
200 Found: http://testphp.vulnweb.com/categories.php/wp-login.php
200 Found: http://testphp.vulnweb.com/categories.php/config.php
200 Found: http://testphp.vulnweb.com/categories.php/info.php
200 Found: http://testphp.vulnweb.com/index.php/wp-login.php
200 Found: http://testphp.vulnweb.com/index.php/config.php
200 Found: http://testphp.vulnweb.com/index.php/info.php
200 Found: http://testphp.vulnweb.com/artists.php/wp-login.php
200 Found: http://testphp.vulnweb.com/artists.php/config.php
200 Found: http://testphp.vulnweb.com/artists.php/info.php
200 Found: http://testphp.vulnweb.com/cart.php/wp-login.php
200 Found: http://testphp.vulnweb.com/cart.php/config.php
200 Found: http://testphp.vulnweb.com/cart.php/info.php
200 Found: http://testphp.vulnweb.com/AJAX/index.php/wp-login.php
200 Found: http://testphp.vulnweb.com/AJAX/index.php/config.php
200 Found: http://testphp.vulnweb.com/AJAX/index.php/info.php
200 Found: http://testphp.vulnweb.com/login.php/wp-login.php
200 Found: http://testphp.vulnweb.com/login.php/config.php
200 Found: http://testphp.vulnweb.com/login.php/info.php
500 Found: http://testphp.vulnweb.com/userinfo.php/upload.env
500 Found: http://testphp.vulnweb.com/userinfo.php/uploads
500 Found: http://testphp.vulnweb.com/userinfo.php/images
200 Found: http://testphp.vulnweb.com/admin
500 Found: http://testphp.vulnweb.com/config.php.zip
500 Found: http://testphp.vulnweb.com/.gitignore
500 Found: http://testphp.vulnweb.com/staging.env
500 Found: http://testphp.vulnweb.com/old
500 Found: http://testphp.vulnweb.com/new.zip
500 Found: http://testphp.vulnweb.com/images
200 Found: http://testphp.vulnweb.com/vendor
500 Found: http://testphp.vulnweb.com/private.env
